Humidity(%),Temperature(°C),WaterFlow(%)
8.220220220220220142e+00,3.617617617617617753e+01,0.000000000000000000e+00
2.420820820820820884e+01,4.098098098098098063e+01,0.000000000000000000e+00
2.936136136136136088e+01,2.384384384384384248e+01,0.000000000000000000e+00
4.393993993993993996e+01,5.443443443443443641e+01,0.000000000000000000e+00
2.416416416416416268e+01,6.508508508508508328e+01,5.332756507351981412e+01
4.896096096096096062e+01,7.661661661661662492e+01,5.278737056005218165e+01
2.068468468468468302e+01,3.569569569569569722e+01,0.000000000000000000e+00
5.120720720720720465e+01,9.407407407407407618e+01,7.261037596222796253e+01
4.310310310310310200e+01,7.477477477477478374e+01,0.000000000000000000e+00
2.513313313313313202e+01,6.964964964964964622e+01,5.846101595003096207e+01
4.640640640640640413e+01,6.876876876876877986e+01,0.000000000000000000e+00
3.006606606606606746e+01,3.001001001001001001e+01,0.000000000000000000e+00
2.707107107107107069e+01,6.284284284284284183e+01,0.000000000000000000e+00
8.792792792792793577e+00,3.121121121121121078e+01,0.000000000000000000e+00
2.856856856856856908e+01,3.961961961961961975e+01,0.000000000000000000e+00
3.182782782782782860e+01,4.362362362362362234e+01,0.000000000000000000e+00
3.504304304304304196e+01,2.360360360360360232e+01,0.000000000000000000e+00
2.059659659659659781e+01,2.264264264264264170e+01,0.000000000000000000e+00
2.632232232232232150e+01,2.832832832832832892e+01,0.000000000000000000e+00
1.786586586586586378e+01,9.023023023023023370e+01,8.800156162496887191e+01
2.407607607607607392e+01,3.769769769769769852e+01,0.000000000000000000e+00
3.979979979979979987e+01,6.412412412412412266e+01,0.000000000000000000e+00
2.535335335335335216e+01,3.177177177177177114e+01,0.000000000000000000e+00
4.389589589589589735e+01,3.329329329329329568e+01,0.000000000000000000e+00
2.623423423423423273e+01,6.732732732732732472e+01,0.000000000000000000e+00
2.191791791791791866e+01,2.656656656656656423e+01,0.000000000000000000e+00
3.839039039039039380e+01,5.555555555555555713e+01,0.000000000000000000e+00
2.539739739739739477e+01,7.229229229229230214e+01,6.158677797910582541e+01
2.473673673673673434e+01,7.349349349349350291e+01,6.347052699000116149e+01
3.856656656656656423e+01,9.287287287287287540e+01,7.875566333736310298e+01
1.055455455455455471e+01,5.355355355355355584e+01,4.677941590867029475e+01
2.244644644644644416e+01,4.658658658658659135e+01,0.000000000000000000e+00
4.878478478478478308e+01,6.500500500500500323e+01,0.000000000000000000e+00
4.561361361361360878e+01,9.591591591591591737e+01,7.816894411041427304e+01
4.010810810810810523e+01,9.495495495495495675e+01,8.032394308465708832e+01
4.719919919919919948e+01,6.108108108108108070e+01,0.000000000000000000e+00
1.315315315315315203e+01,4.378378378378378954e+01,0.000000000000000000e+00
1.905505505505505681e+01,7.789789789789790575e+01,7.230525925710573176e+01
4.151751751751751840e+01,7.917917917917918658e+01,6.039799322849196273e+01
4.024024024024024015e+01,5.043043043043042672e+01,0.000000000000000000e+00
3.548348348348348225e+01,6.476476476476477728e+01,0.000000000000000000e+00
2.887687687687687799e+01,3.633633633633633764e+01,0.000000000000000000e+00
2.786386386386386249e+01,5.499499499499499677e+01,0.000000000000000000e+00
3.596796796796796514e+01,8.446446446446446998e+01,0.000000000000000000e+00
3.966766766766767205e+01,3.705705705705705810e+01,0.000000000000000000e+00
4.169369369369368883e+01,8.934934934934935313e+01,7.264367137971619570e+01
2.451651651651651420e+01,7.069069069069070110e+01,6.012685524969754169e+01
3.063863863863863557e+01,7.077077077077078116e+01,0.000000000000000000e+00
5.138338338338338218e+01,4.970970970970971337e+01,0.000000000000000000e+00
4.759559559559559716e+01,5.587587587587587734e+01,0.000000000000000000e+00
3.332532532532532343e+01,8.302302302302302905e+01,0.000000000000000000e+00
2.028828828828828534e+01,4.370370370370370239e+01,2.796361988315611669e+01
1.989189189189189477e+01,8.662662662662663138e+01,8.243728169955208784e+01
2.182982982982982989e+01,3.825825825825825888e+01,0.000000000000000000e+00
1.949549549549549710e+01,9.903903903903903938e+01,9.756242319006575769e+01
4.618618618618618399e+01,5.875875875875875920e+01,0.000000000000000000e+00
3.966766766766767205e+01,5.163163163163162750e+01,0.000000000000000000e+00
2.711511511511511330e+01,6.980980980980980632e+01,0.000000000000000000e+00
1.566366366366366236e+01,7.813813813813813169e+01,7.463486620055506648e+01
1.707307307307307198e+01,7.189189189189190188e+01,6.608493919279676732e+01
2.108108108108108070e+01,4.858858858858859264e+01,3.397902560001251970e+01
2.922922922922922950e+01,6.708708708708708457e+01,0.000000000000000000e+00
2.856856856856856908e+01,4.938938938938939316e+01,0.000000000000000000e+00
4.777177177177176759e+01,5.787787787787787863e+01,0.000000000000000000e+00
1.707307307307307198e+01,8.086086086086085345e+01,7.712109354933159011e+01
3.610010010010010006e+01,1.000000000000000000e+02,8.874178714106442101e+01
3.587987987987987992e+01,9.599599599599599742e+01,8.410493782326871326e+01
4.156156156156156101e+01,2.392392392392392253e+01,0.000000000000000000e+00
1.421021021021021014e+01,6.708708708708708457e+01,6.181337004066893570e+01
5.006206206206206133e+01,3.945945945945945965e+01,0.000000000000000000e+00
1.892292292292292188e+01,2.664664664664664784e+01,0.000000000000000000e+00
5.182382382382382247e+01,9.143143143143143448e+01,6.907089941823315371e+01
4.803603603603603744e+01,9.663663663663663783e+01,7.757578574658369064e+01
4.856456456456456294e+01,7.429429429429430343e+01,5.016323700451433609e+01
3.887487487487487670e+01,5.763763763763763848e+01,0.000000000000000000e+00
3.129929929929929600e+01,5.171171171171171466e+01,0.000000000000000000e+00
3.684884884884884571e+01,6.140140140140140090e+01,0.000000000000000000e+00
2.218218218218218141e+01,6.412412412412412266e+01,5.330645074266620043e+01
5.015015015015014654e+01,4.818818818818819238e+01,0.000000000000000000e+00
2.711511511511511330e+01,8.398398398398398967e+01,7.489933999928464914e+01
3.671671671671671788e+01,9.359359359359359587e+01,8.072943147682740062e+01
4.693493493493493673e+01,6.364364364364364235e+01,0.000000000000000000e+00
4.323523523523522982e+01,4.122122122122122079e+01,0.000000000000000000e+00
1.165565565565565542e+01,6.044044044044044028e+01,5.495788011624203051e+01
3.059459459459459296e+01,2.408408408408408263e+01,0.000000000000000000e+00
3.433833833833833182e+01,3.393393393393392898e+01,0.000000000000000000e+00
1.843843843843843899e+01,2.920920920920920949e+01,0.000000000000000000e+00
5.147147147147146740e+01,6.444444444444444287e+01,0.000000000000000000e+00
2.535335335335335216e+01,9.703703703703703809e+01,9.166328719803448166e+01
4.719919919919919948e+01,8.774774774774775210e+01,6.740792954756791744e+01
3.596796796796796514e+01,8.334334334334334926e+01,0.000000000000000000e+00
5.072272272272272176e+01,2.856856856856856908e+01,0.000000000000000000e+00
4.235435435435434925e+01,8.734734734734735184e+01,6.983109448021504306e+01
3.610010010010010006e+01,5.851851851851851904e+01,0.000000000000000000e+00
4.107707707707707812e+01,7.213213213213212782e+01,0.000000000000000000e+00
1.059859859859859910e+01,4.146146146146146094e+01,0.000000000000000000e+00
4.204604604604604390e+01,2.040040040040040026e+01,0.000000000000000000e+00
5.098698698698698450e+01,4.050050050050050032e+01,0.000000000000000000e+00
2.033233233233233506e+01,3.297297297297297547e+01,0.000000000000000000e+00
3.090290290290290542e+01,9.767767767767767850e+01,8.909714621590694605e+01
2.878878878878878922e+01,5.003003003003002647e+01,0.000000000000000000e+00
2.081681681681681795e+01,3.529529529529529697e+01,0.000000000000000000e+00
1.473873873873873919e+01,5.635635635635635765e+01,4.788618998622013123e+01
3.270870870870871272e+01,9.551551551551551711e+01,8.543373715657085654e+01
2.156556556556556359e+01,2.248248248248248160e+01,0.000000000000000000e+00
3.301701701701701097e+01,8.590590590590591091e+01,0.000000000000000000e+00
1.857057057057057037e+01,6.940940940940940607e+01,6.209920645119234450e+01
3.094694694694694803e+01,8.574574574574575081e+01,0.000000000000000000e+00
3.680480480480480310e+01,4.554554554554555068e+01,0.000000000000000000e+00
3.852252252252252163e+01,6.092092092092092059e+01,0.000000000000000000e+00
4.231031031031030665e+01,3.257257257257257521e+01,0.000000000000000000e+00
2.865665665665665784e+01,3.881881881881881924e+01,0.000000000000000000e+00
3.671671671671671788e+01,8.254254254254254874e+01,0.000000000000000000e+00
3.121121121121121078e+01,9.175175175175175468e+01,8.182352242914316776e+01
3.733333333333332860e+01,5.803803803803803874e+01,3.648605753935129314e+01
3.772972972972972627e+01,9.111111111111111427e+01,7.714256130754975516e+01
4.909309309309309555e+01,5.019019019019019368e+01,0.000000000000000000e+00
3.372172172172172111e+01,4.570570570570570368e+01,0.000000000000000000e+00
4.962162162162162105e+01,7.213213213213212782e+01,0.000000000000000000e+00
2.751151151151151097e+01,9.599599599599599742e+01,8.912606336132775198e+01
2.711511511511511330e+01,2.000000000000000000e+01,0.000000000000000000e+00
2.486886886886886927e+01,2.944944944944944965e+01,0.000000000000000000e+00
2.187387387387387605e+01,7.165165165165164751e+01,6.290629257693522902e+01
1.090690690690690623e+01,9.119119119119119432e+01,9.333284888218570075e+01
2.940540540540540349e+01,2.584584584584584732e+01,0.000000000000000000e+00
4.746346346346346223e+01,9.367367367367367592e+01,7.437717852499989135e+01
1.729329329329329212e+01,2.136136136136136088e+01,0.000000000000000000e+00
3.244444444444444287e+01,9.127127127127127437e+01,0.000000000000000000e+00
1.711711711711711814e+01,8.438438438438437572e+01,8.138454349989405046e+01
5.023823823823823886e+01,8.838838838838837830e+01,6.635795833854257353e+01
8.132132132132131375e+00,4.626626626626626404e+01,0.000000000000000000e+00
1.143543543543543528e+01,9.023023023023023370e+01,9.185990019631950076e+01
4.138538538538538347e+01,7.485485485485484958e+01,0.000000000000000000e+00
2.865665665665665784e+01,6.252252252252252163e+01,0.000000000000000000e+00
3.689289289289288831e+01,7.341341341341340865e+01,0.000000000000000000e+00
4.856456456456456294e+01,5.851851851851851904e+01,0.000000000000000000e+00
1.447447447447447288e+01,3.089089089089089057e+01,0.000000000000000000e+00
3.539539539539539703e+01,5.155155155155155455e+01,0.000000000000000000e+00
2.385585585585585733e+01,1.000000000000000000e+02,9.608848661254027945e+01
4.164964964964964622e+01,7.685685685685685087e+01,0.000000000000000000e+00
3.596796796796796514e+01,6.796796796796797935e+01,0.000000000000000000e+00
